Typical Values,per 100g,per 80g (1 medium apple),item name,per 40g portion,per 40g portion %RI,your RI*,per 80g portion,per 100g:,per 20g serving,(as consumed) per 100g,(as consumed) per 40g portion,per pack,per 80g (1 lemon),per 80g (1 lemon) %GDA,your GDA*,% adult RI per 100g,adult RI,per 80g (1 medium apple) %GDA,per 80g serving (1 large slice),%GDA,per 80g (1 medium pear),per 80g (1 medium pear) %GDA,per 80g serving (2 kiwi fruit),per 80g (1 medium apple) % GDA,per 30g portion,%RI,per 80g serving,per 1/6 pack,per 1/6 pack %GDA,per bag,per bag %RI,per 25g portion,per 25g portion %RI,per 40g portion ,per 50g portion,per 30g portion %RI,per 1/5 pack (82g)
Salt ,trace,,Morrisons Snack Apple Bag  80g,,,,,,,,,trace,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,Morrisons Melon 320g,,,,,105kJ/25kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,Morrisons Melon 320g,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,Morrisons Melon 320g,,,,,Trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,Morrisons Melon 320g,,,,,4.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,Morrisons Melon 320g,,,,,4.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,Morrisons Melon 320g,,,,,1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,Morrisons Melon 320g,,,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,Morrisons Melon 320g,,,,,0.06g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 4 portions,,,Morrisons Melon 320g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,Morrisons Melon & Grape 320g,,,,,146kJ/34kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,Morrisons Melon & Grape 320g,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,Morrisons Melon & Grape 320g,,,,,Trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,Morrisons Melon & Grape 320g,,,,,7.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,Morrisons Melon & Grape 320g,,,,,7.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,Morrisons Melon & Grape 320g,,,,,1.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,Morrisons Melon & Grape 320g,,,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,Morrisons Melon & Grape 320g,,,,,Trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 4 portions,,,Morrisons Melon & Grape 320g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,256kJ/61kcal,,Morrisons Snack Apple & Grape Bag 80g,,,,,,,,,205kJ/48kcal,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,0.1g,,Morrisons Snack Apple & Grape Bag 80g,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,nil,,Morrisons Snack Apple & Grape Bag 80g,,,,,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,13.3g,,Morrisons Snack Apple & Grape Bag 80g,,,,,,,,,10.6g,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,13.3g,,Morrisons Snack Apple & Grape Bag 80g,,,,,,,,,10.6g,,,,,,,,,,,,,,,,,,,,,,,,,
