Typical Values,per 100g (as sold),item name,Per 100g serving,as sold Per 100g,Per 100g,Per portion (125g) (%*),Per 100g As Prepared,Per 1/2 Pack (145g) As Prepared,(as consumed) per 100g,(as consumed) per 180g cooked pasta (approx. 75g dry pasta),per 180g cooked pasta (approx. 75g dry pasta) %RI,your RI*,Per 100g Prepared,Per 100g Unprepared,Per Serving Prepared,%* per portion**,(as consumed) per 180g cooked pasta (approx 75g dry pasta),per 180g cooked pasta (approx 75g dry pasta) %RI,Per 12 Pack As Prepared (183g),% Reference Intake,%RI,Per Pot (265g) As Prepared,per: 100g uncooked,per: 75g uncooked,Per 100g as sold,Per portion as prepared (145g),Per 1/2 Pack As Prepared (183g),as consumed per 100g,as consumed per 1/2 pack (110g),per 1/2 pack (110g) %RI,Per (100g),Per (150g),Per Serving,(as prepared) per 100g,(as prepared) per 1/2 pack (140g),per 1/2 pack (140g) %RI,(as prepared) per pot,Per Pot (315g) As Prepared,(as consumed) Per 100g,(as consumed) Per pot (338g),(as consumed) Per sachet,as prepared per: 100g,as prepared per: Cup,Per portion as prepared (161g),%Reference Intake,per 100g prepared product:,Per Pot (245g) As Prepared,Per 125g Serving,Avg. Quantity per Serving (as made up),Avg. Quantity per 100g (as made up),per 100g,Per 100g uncooked,Per 75g uncooked,Avg. Quantity per 100 g (as made up),per 100g prepared:,Per Pot (305g) As Prepared,Avg Quantity per Serving (as made up),(as consumed) Per pot (258g),(as sold) Per 100g,Avg Quantity per 100 g (as made up),Per portion (110g) (%*),Per pot,(as consumed) per pot,(typical values as microwaved) Per 100g,(typical values as microwaved) Per Pack,Per 100g (As consumed),Per Portion 130g (As consumed),per 100 g prepared product:,(as consumed) Per pot (434g),Per 100g ,Per 56g pack,(as consumed) per sachet,Per Portion,Per Pot (350g) As Prepared,Per Pot (395g) As Prepared,(as consumed without additional ingredients) Per 100g,(as consumed without additional ingredients) Per serving (155g),(as consumed without additional ingredients) Per serving (158g),as consumed per 1/2 pack (125g),per 1/2 pack (125g) %RI,per 1/2 pack (125g),(as consumed) per 1/4 pack (167g when cooked),(boiled) per 100g,(boiled) per 225g portion,per 225g portion %RI,(as consumed) per 205g portion,per 205g portion %RI,Per portion (125g),Per 1/2 Pack as Prepared (183g),per 225g portion,per 180g cooked pasta (approx. 75g dry pasta) RI*,(as consumed) per 80g portion,per 80g portion %RI,Per 100g as prepared**,Per serving**,% RI*,(as consumed) per 1/4 pack (184g when cooked),(as consumed) per 150g cooked pasta (approx. 75g dry pasta),per 100 g
Fat ,,Batchelors Pasta 'N' Sauce Mac 'N' Cheese Pot 65g,,,,,1.1g,,,,,,,,,,,,,5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which Saturates ,,Batchelors Pasta 'N' Sauce Mac 'N' Cheese Pot 65g,,,,,0.6g,,,,,,,,,,,,,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Batchelors Pasta 'N' Sauce Mac 'N' Cheese Pot 65g,,,,,14.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which Sugars ,,Batchelors Pasta 'N' Sauce Mac 'N' Cheese Pot 65g,,,,,2.1g,,,,,,,,,,,,,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Batchelors Pasta 'N' Sauce Mac 'N' Cheese Pot 65g,,,,,<0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Batchelors Pasta 'N' Sauce Mac 'N' Cheese Pot 65g,,,,,2.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Batchelors Pasta 'N' Sauce Mac 'N' Cheese Pot 65g,,,,,0.62g,,,,,,,,,,,,,32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This pot contains 1 portion,,Batchelors Pasta 'N' Sauce Mac 'N' Cheese Pot 65g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kJ),,Itsu Chicken Chilli Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kcal),,Itsu Chicken Chilli Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat (g),,Itsu Chicken Chilli Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates (g),,Itsu Chicken Chilli Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate (g),,Itsu Chicken Chilli Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars (g),,Itsu Chicken Chilli Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre (g),,Itsu Chicken Chilli Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein (g),,Itsu Chicken Chilli Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt (g),,Itsu Chicken Chilli Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This cup contains 1 serving,,Itsu Chicken Chilli Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Don Gaetano Penne 500G 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470 kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Don Gaetano Penne 500G 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Don Gaetano Penne 500G 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,4 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,Don Gaetano Penne 500G 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Don Gaetano Penne 500G 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,0 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,Don Gaetano Penne 500G 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,4 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Don Gaetano Penne 500G 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,6 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Don Gaetano Penne 500G 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,2 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Don Gaetano Penne 500G 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<0,01 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kJ),,Pot Pasta Beefy Bolognese  58g,,,,,,,,,,,368 kJ,,875 kJ,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kcal),,Pot Pasta Beefy Bolognese  58g,,,,,,,,,,,87 kcal,,207 kcal,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat (g),,Pot Pasta Beefy Bolognese  58g,,,,,,,,,,,0.5 g,,1.2 g,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates (g),,Pot Pasta Beefy Bolognese  58g,,,,,,,,,,,<0.1 g,,0.2 g,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate (g),,Pot Pasta Beefy Bolognese  58g,,,,,,,,,,,17 g,,41 g,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars (g),,Pot Pasta Beefy Bolognese  58g,,,,,,,,,,,3.1 g,,7.4 g,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre (g),,Pot Pasta Beefy Bolognese  58g,,,,,,,,,,,1.1 g,,2.7 g,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein (g),,Pot Pasta Beefy Bolognese  58g,,,,,,,,,,,2.9 g,,7 g,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt (g),,Pot Pasta Beefy Bolognese  58g,,,,,,,,,,,0.55 g,,1.3 g,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 portion = 238 g. (Pack contains 1 portions),,Pot Pasta Beefy Bolognese  58g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kJ),,Pot Noodle Sticky Rib King Pot 114g,,,,,,,,,,,594 kJ,1938 kJ,2287 kJ,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kcal),,Pot Noodle Sticky Rib King Pot 114g,,,,,,,,,,,140 kcal,458 kcal,539 kcal,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat (g),,Pot Noodle Sticky Rib King Pot 114g,,,,,,,,,,,5.3 g,17.3 g,20 g,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates (g),,Pot Noodle Sticky Rib King Pot 114g,,,,,,,,,,,2.6 g,8.5 g,10 g,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate (g),,Pot Noodle Sticky Rib King Pot 114g,,,,,,,,,,,20 g,65.2 g,77 g,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars (g),,Pot Noodle Sticky Rib King Pot 114g,,,,,,,,,,,2.4 g,7.8 g,9.2 g,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre (g),,Pot Noodle Sticky Rib King Pot 114g,,,,,,,,,,,1.3 g,4.1 g,5 g,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein (g),,Pot Noodle Sticky Rib King Pot 114g,,,,,,,,,,,2.9 g,9.6 g,11 g,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt (g),,Pot Noodle Sticky Rib King Pot 114g,,,,,,,,,,,0.48 g,1.6 g,1.8 g,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*% of Reference intake of an average adult (8400 kJ / 2000 kcal),,Pot Noodle Sticky Rib King Pot 114g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 portion = 385 g. ( Pack contains 1 portions ),,Pot Noodle Sticky Rib King Pot 114g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Mug Shot Pasta Creamy Cheese 68g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440kJ/104kcal,,1180kJ/279kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Mug Shot Pasta Creamy Cheese 68g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9g,,5.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,Mug Shot Pasta Creamy Cheese 68g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0g,,2.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Mug Shot Pasta Creamy Cheese 68g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6g,,49.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,Mug Shot Pasta Creamy Cheese 68g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3g,,3.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Mug Shot Pasta Creamy Cheese 68g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7g,,1.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Mug Shot Pasta Creamy Cheese 68g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8g,,7.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Mug Shot Pasta Creamy Cheese 68g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67g,,1.79g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once boiling water has been added to the contents of this sachet it weighs 268g (approx.),,Mug Shot Pasta Creamy Cheese 68g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This represents one serving,,Mug Shot Pasta Creamy Cheese 68g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All values below relate to the product when made up with water (i.e. per 100g is a portion of the 268g serving),,Mug Shot Pasta Creamy Cheese 68g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,Ainsley Harriot Morrocan Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755 kJ (179 kcal),,,,,580 kJ (137 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fat, total",,Ainsley Harriot Morrocan Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0 g,,,,,1.5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- saturated,,Ainsley Harriot Morrocan Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 g,,,,,0.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,,Ainsley Harriot Morrocan Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6 g,,,,,25.1 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- sugars,,Ainsley Harriot Morrocan Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0 g,,,,,3.0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dietary fibre,,Ainsley Harriot Morrocan Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 g,,,,,1.9 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,,Ainsley Harriot Morrocan Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3 g,,,,,4.8 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,,Ainsley Harriot Morrocan Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90g,,,,,0.69 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium,,Ainsley Harriot Morrocan Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360 mg,,,,,277 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This sachet provides two servings of approximately 130 g when made up as per instructions without butter or oil,,Ainsley Harriot Morrocan Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Servings per package: 2, Serving size: 130 g [as made up]",,Ainsley Harriot Morrocan Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Ainsley Harriot Tomato Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566 kJ (134 kcal),,,,,,,736 kJ (174 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fat, total",,Ainsley Harriot Tomato Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1 g,,,,,,,1. 5 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-saturates ,,Ainsley Harriot Tomato Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1 g,,,,,,,0.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Ainsley Harriot Tomato Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2 g,,,,,,,32.8 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-sugars ,,Ainsley Harriot Tomato Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8 g,,,,,,,3.6 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dietary fibre ,,Ainsley Harriot Tomato Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9 g,,,,,,,2.4 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Ainsley Harriot Tomato Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7 g,,,,,,,6.2 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Ainsley Harriot Tomato Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71 g,,,,,,,0.93 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodium ,,Ainsley Harriot Tomato Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284 mg,,,,,,,370 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This sachet provides two servings of approximately 130 g when made up as per instructions without butter or oil,,Ainsley Harriot Tomato Cous Cous 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,Naked Noodle Teriyaki Noodle Pot 78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349kJ (82kcal),1179kJ (278kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,,Naked Noodle Teriyaki Noodle Pot 78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7g,2.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates,,Naked Noodle Teriyaki Noodle Pot 78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate,,Naked Noodle Teriyaki Noodle Pot 78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7g,53.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars,,Naked Noodle Teriyaki Noodle Pot 78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6g,8.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre,,Naked Noodle Teriyaki Noodle Pot 78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7g,2.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein,,Naked Noodle Teriyaki Noodle Pot 78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9g,9.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt,,Naked Noodle Teriyaki Noodle Pot 78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53g,1.77g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This pot provides 1 serving,,Naked Noodle Teriyaki Noodle Pot 78g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,,Napolina Wholewheat Fusilli 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455kJ/344kcal,1093kJ/258 kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,,Napolina Wholewheat Fusilli 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0g,1.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- of which saturates,,Napolina Wholewheat Fusilli 500g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4g,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
