Typical Values,(oven cooked) per 100g,(oven cooked) per fillet (97g),%RI,your RI*,item name,price,image_url,product_url,(grilled) per 100g,(grilled) per grilled sausage (26g),(as sold) per 100g,(grilled) per grilled sausage (53g),(as consumed) per 100g,(as consumed) per kiev (approx. 113g),(as consumed) per 3 goujons (approx. 76g),(grilled) per rasher (21g),% RI,(grilled) per rasher (25g),per grilled sausage (55g),per 100g,(grilled) per grilled sausage (27g),Per 100g as sold,(grilled) per rasher (22g),(grilled) per grilled sausage (54g),per fillet (80g),(oven cooked) per 100g:,(as consumed) per kiev (approx. 127g),(as consumed) per 1/2 pack (approx. 90g),(as consumed) 10 bites (approx. 70g),per 3 goujons (approx. 73g),(as sold) Per 100g,(as sold) Per 1/4 pack,(as consumed) per 100g:,Per 100g grilled,Per rasher 25g grilled,% intake per 25g,(as consumed) per 1/2 pack (123g),(as consumed) per 1/2 pack (158g),(oven cooked) per 1/2 pack (88g),(as consumed) per 3 goujons (approx. 82g),Per 100g (grilled),Per 2 chipolatas (59g) (grilled),Per 2 sausages (117g) (grilled),per grilled 100g,per grilled sausage (54g),(as consumed) per fillet (approx. 164g),(grilled) per rasher (approx. 18g),Per 100g As Sold,(as consumed) per fishcake (approx. 140g),per fishcake (approx. 140g) %RI,Per 2 chipolatas (58g) (grilled),(as consumed) per fillet (approx. 155g),(grilled) per sausage (49g),(cooked as per instructions) Per 100g,(cooked as per instructions) Per 150g,(as consumed) per 100 g,(as consumed) per 1/2 pack (131g),(boiled) per 100g,(boiled) per 1/2 pack (198g),(as consumed) per fishcake (approx. 136g),per fishcake (approx. 136g),(as sold) per pack,(grilled) per sausage (54g),Per 100g,per 100g as sold:,(grilled) per grilled sausage (55g),(as grilled) per 100g,per 100g:,(as consumed) per 1/2 pack (128g),(as consumed) per drumstick and thigh (excl. bone) (approx.191g),(grilled) per 2 rashers (approx. 21g),(oven cooked) per 1/2 pack (192g),(as sold) per 100g:,(shallow fried) per 100g:,per pack,you RI*,(as consumed) per pudding (27g),(stir fried) per 100g,100g of Grilled Sausage contains,1 Grilled Sausage (46g) contains,(as consumed) per grilled sausage (approx. 42g),per grilled sausage (50g) %RI,Per 100g Grilled,1 Grilled Sausage (23g) contains,(as consumed) per pudding (39g),(grilled) per burger (approx. 83g)
 of which sugars ,,,1%,90g,Morrisons The Best Maple Cured Streaky Bacon 210g,£2.50,['/productImages/538/538602011_0_640x640.jpg?identifier=c890b00e740aac1ce1fd29c0c9900409'],https://groceries.morrisons.com//products/morrisons-the-best-maple-cured-streak-bacon-538602011,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5g,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons The Best Maple Cured Streaky Bacon 210g,£2.50,['/productImages/538/538602011_0_640x640.jpg?identifier=c890b00e740aac1ce1fd29c0c9900409'],https://groceries.morrisons.com//products/morrisons-the-best-maple-cured-streak-bacon-538602011,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons The Best Maple Cured Streaky Bacon 210g,£2.50,['/productImages/538/538602011_0_640x640.jpg?identifier=c890b00e740aac1ce1fd29c0c9900409'],https://groceries.morrisons.com//products/morrisons-the-best-maple-cured-streak-bacon-538602011,26.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6g,,,,,,,,,,,,,,,
Salt ,,,13%,6g,Morrisons The Best Maple Cured Streaky Bacon 210g,£2.50,['/productImages/538/538602011_0_640x640.jpg?identifier=c890b00e740aac1ce1fd29c0c9900409'],https://groceries.morrisons.com//products/morrisons-the-best-maple-cured-streak-bacon-538602011,3.86g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8g,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons The Best Maple Cured Streaky Bacon 210g,£2.50,['/productImages/538/538602011_0_640x640.jpg?identifier=c890b00e740aac1ce1fd29c0c9900409'],https://groceries.morrisons.com//products/morrisons-the-best-maple-cured-streak-bacon-538602011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 10 portions,,,,,Morrisons The Best Maple Cured Streaky Bacon 210g,£2.50,['/productImages/538/538602011_0_640x640.jpg?identifier=c890b00e740aac1ce1fd29c0c9900409'],https://groceries.morrisons.com//products/morrisons-the-best-maple-cured-streak-bacon-538602011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,,8400kJ/,Morrisons Medium Smoked Gammon Joint Typically: 2.7kg,£12.83,['/productImages/209/209816011_0_640x640.jpg?identifier=4251d110bbc6bb4be3bca5ed3fd3be88'],https://groceries.morrisons.com//products/morrisons-medium-smoked-gammon-joint-209816011,,,,,841kJ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10%,2000kcal,Morrisons Medium Smoked Gammon Joint Typically: 2.7kg,£12.83,['/productImages/209/209816011_0_640x640.jpg?identifier=4251d110bbc6bb4be3bca5ed3fd3be88'],https://groceries.morrisons.com//products/morrisons-medium-smoked-gammon-joint-209816011,,,,,201kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,16%,70g,Morrisons Medium Smoked Gammon Joint Typically: 2.7kg,£12.83,['/productImages/209/209816011_0_640x640.jpg?identifier=4251d110bbc6bb4be3bca5ed3fd3be88'],https://groceries.morrisons.com//products/morrisons-medium-smoked-gammon-joint-209816011,,,,,11g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,,20%,20g,Morrisons Medium Smoked Gammon Joint Typically: 2.7kg,£12.83,['/productImages/209/209816011_0_640x640.jpg?identifier=4251d110bbc6bb4be3bca5ed3fd3be88'],https://groceries.morrisons.com//products/morrisons-medium-smoked-gammon-joint-209816011,,,,,4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Medium Smoked Gammon Joint Typically: 2.7kg,£12.83,['/productImages/209/209816011_0_640x640.jpg?identifier=4251d110bbc6bb4be3bca5ed3fd3be88'],https://groceries.morrisons.com//products/morrisons-medium-smoked-gammon-joint-209816011,,,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,,<1%,90g,Morrisons Medium Smoked Gammon Joint Typically: 2.7kg,£12.83,['/productImages/209/209816011_0_640x640.jpg?identifier=4251d110bbc6bb4be3bca5ed3fd3be88'],https://groceries.morrisons.com//products/morrisons-medium-smoked-gammon-joint-209816011,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Medium Smoked Gammon Joint Typically: 2.7kg,£12.83,['/productImages/209/209816011_0_640x640.jpg?identifier=4251d110bbc6bb4be3bca5ed3fd3be88'],https://groceries.morrisons.com//products/morrisons-medium-smoked-gammon-joint-209816011,,,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons Medium Smoked Gammon Joint Typically: 2.7kg,£12.83,['/productImages/209/209816011_0_640x640.jpg?identifier=4251d110bbc6bb4be3bca5ed3fd3be88'],https://groceries.morrisons.com//products/morrisons-medium-smoked-gammon-joint-209816011,,,,,24.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,48%,6g,Morrisons Medium Smoked Gammon Joint Typically: 2.7kg,£12.83,['/productImages/209/209816011_0_640x640.jpg?identifier=4251d110bbc6bb4be3bca5ed3fd3be88'],https://groceries.morrisons.com//products/morrisons-medium-smoked-gammon-joint-209816011,,,,,2.88g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Medium Smoked Gammon Joint Typically: 2.7kg,£12.83,['/productImages/209/209816011_0_640x640.jpg?identifier=4251d110bbc6bb4be3bca5ed3fd3be88'],https://groceries.morrisons.com//products/morrisons-medium-smoked-gammon-joint-209816011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy,508kJ/121kcal,,12%,8400kJ/2000kcal,Morrisons Slow Cook Apple & Pork Casserole 450g,£4,['/productImages/216/216765011_0_640x640.jpg?identifier=4ed879f17c2560bde282d05c74591ad3'],https://groceries.morrisons.com//products/morrisons-slow-cook-apple-pork-casserole-216765011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975kJ/232kcal,,,,,,,,,,,,,,
Fat,4.2g,,11%,70g,Morrisons Slow Cook Apple & Pork Casserole 450g,£4,['/productImages/216/216765011_0_640x640.jpg?identifier=4ed879f17c2560bde282d05c74591ad3'],https://groceries.morrisons.com//products/morrisons-slow-cook-apple-pork-casserole-216765011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8g,,,,,,,,,,,,,,
of which saturates,1.4g,,13%,20g,Morrisons Slow Cook Apple & Pork Casserole 450g,£4,['/productImages/216/216765011_0_640x640.jpg?identifier=4ed879f17c2560bde282d05c74591ad3'],https://groceries.morrisons.com//products/morrisons-slow-cook-apple-pork-casserole-216765011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6g,,,,,,,,,,,,,,
Carbohydrate,6g,,,,Morrisons Slow Cook Apple & Pork Casserole 450g,£4,['/productImages/216/216765011_0_640x640.jpg?identifier=4ed879f17c2560bde282d05c74591ad3'],https://groceries.morrisons.com//products/morrisons-slow-cook-apple-pork-casserole-216765011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6g,,,,,,,,,,,,,,
of which sugars,4.5g,,10%,90g,Morrisons Slow Cook Apple & Pork Casserole 450g,£4,['/productImages/216/216765011_0_640x640.jpg?identifier=4ed879f17c2560bde282d05c74591ad3'],https://groceries.morrisons.com//products/morrisons-slow-cook-apple-pork-casserole-216765011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7g,,,,,,,,,,,,,,
Fibre,0.5g,,,,Morrisons Slow Cook Apple & Pork Casserole 450g,£4,['/productImages/216/216765011_0_640x640.jpg?identifier=4ed879f17c2560bde282d05c74591ad3'],https://groceries.morrisons.com//products/morrisons-slow-cook-apple-pork-casserole-216765011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1g,,,,,,,,,,,,,,
Protein,14.5g,,,,Morrisons Slow Cook Apple & Pork Casserole 450g,£4,['/productImages/216/216765011_0_640x640.jpg?identifier=4ed879f17c2560bde282d05c74591ad3'],https://groceries.morrisons.com//products/morrisons-slow-cook-apple-pork-casserole-216765011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9g,,,,,,,,,,,,,,
Salt,0.36g,,12%,6g,Morrisons Slow Cook Apple & Pork Casserole 450g,£4,['/productImages/216/216765011_0_640x640.jpg?identifier=4ed879f17c2560bde282d05c74591ad3'],https://groceries.morrisons.com//products/morrisons-slow-cook-apple-pork-casserole-216765011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69g,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons Slow Cook Apple & Pork Casserole 450g,£4,['/productImages/216/216765011_0_640x640.jpg?identifier=4ed879f17c2560bde282d05c74591ad3'],https://groceries.morrisons.com//products/morrisons-slow-cook-apple-pork-casserole-216765011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 2 portions,,,,,Morrisons Slow Cook Apple & Pork Casserole 450g,£4,['/productImages/216/216765011_0_640x640.jpg?identifier=4ed879f17c2560bde282d05c74591ad3'],https://groceries.morrisons.com//products/morrisons-slow-cook-apple-pork-casserole-216765011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,13%,8400kJ/2000kcal,Morrisons The Best Hampshire Thick Cut Pork Chops Typically: 0.47kg,£7,"['/productImages/506/506726011_0_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_1_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_2_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-thick-cut-pork-chops-506726011,,,1119kJ/270kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,31%,70g,Morrisons The Best Hampshire Thick Cut Pork Chops Typically: 0.47kg,£7,"['/productImages/506/506726011_0_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_1_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_2_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-thick-cut-pork-chops-506726011,,,21.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,40%,20g,Morrisons The Best Hampshire Thick Cut Pork Chops Typically: 0.47kg,£7,"['/productImages/506/506726011_0_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_1_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_2_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-thick-cut-pork-chops-506726011,,,8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons The Best Hampshire Thick Cut Pork Chops Typically: 0.47kg,£7,"['/productImages/506/506726011_0_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_1_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_2_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-thick-cut-pork-chops-506726011,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,0%,90g,Morrisons The Best Hampshire Thick Cut Pork Chops Typically: 0.47kg,£7,"['/productImages/506/506726011_0_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_1_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_2_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-thick-cut-pork-chops-506726011,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons The Best Hampshire Thick Cut Pork Chops Typically: 0.47kg,£7,"['/productImages/506/506726011_0_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_1_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_2_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-thick-cut-pork-chops-506726011,,,nil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons The Best Hampshire Thick Cut Pork Chops Typically: 0.47kg,£7,"['/productImages/506/506726011_0_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_1_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_2_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-thick-cut-pork-chops-506726011,,,18.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,,2%,6g,Morrisons The Best Hampshire Thick Cut Pork Chops Typically: 0.47kg,£7,"['/productImages/506/506726011_0_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_1_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_2_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-thick-cut-pork-chops-506726011,,,0.13g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons The Best Hampshire Thick Cut Pork Chops Typically: 0.47kg,£7,"['/productImages/506/506726011_0_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_1_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111', '/productImages/506/506726011_2_640x640.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-thick-cut-pork-chops-506726011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,,,Morrisons Whole Seabass  318g,£3,['/productImages/539/539507011_0_640x640.jpg?identifier=301dd4ac8900ff3718251e34b1628015'],https://groceries.morrisons.com//products/morrisons-whole-seabass-539507011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405kJ/96kcal,,,,,,,,,,,,,
Fat ,,,,,Morrisons Whole Seabass  318g,£3,['/productImages/539/539507011_0_640x640.jpg?identifier=301dd4ac8900ff3718251e34b1628015'],https://groceries.morrisons.com//products/morrisons-whole-seabass-539507011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9g,,,,,,,,,,,,,
of which saturates,,,,,Morrisons Whole Seabass  318g,£3,['/productImages/539/539507011_0_640x640.jpg?identifier=301dd4ac8900ff3718251e34b1628015'],https://groceries.morrisons.com//products/morrisons-whole-seabass-539507011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7g,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Whole Seabass  318g,£3,['/productImages/539/539507011_0_640x640.jpg?identifier=301dd4ac8900ff3718251e34b1628015'],https://groceries.morrisons.com//products/morrisons-whole-seabass-539507011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,
of which sugars,,,,,Morrisons Whole Seabass  318g,£3,['/productImages/539/539507011_0_640x640.jpg?identifier=301dd4ac8900ff3718251e34b1628015'],https://groceries.morrisons.com//products/morrisons-whole-seabass-539507011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Whole Seabass  318g,£3,['/productImages/539/539507011_0_640x640.jpg?identifier=301dd4ac8900ff3718251e34b1628015'],https://groceries.morrisons.com//products/morrisons-whole-seabass-539507011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,
Protein ,,,,,Morrisons Whole Seabass  318g,£3,['/productImages/539/539507011_0_640x640.jpg?identifier=301dd4ac8900ff3718251e34b1628015'],https://groceries.morrisons.com//products/morrisons-whole-seabass-539507011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5g,,,,,,,,,,,,,
Salt ,,,,,Morrisons Whole Seabass  318g,£3,['/productImages/539/539507011_0_640x640.jpg?identifier=301dd4ac8900ff3718251e34b1628015'],https://groceries.morrisons.com//products/morrisons-whole-seabass-539507011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75g,,,,,,,,,,,,,
Energy ,,,13%,8400kJ/2000kcal,Morrisons The Best Hampshire Pork Belly Joint With Salt & Pepper Crumb Typically: 0.57kg,£7,"['/productImages/506/506679011_0_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_1_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_2_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-pork-belly-joint-with-salt-pepper-crumb-506679011,,,,,1076kJ/260kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,,31%,70g,Morrisons The Best Hampshire Pork Belly Joint With Salt & Pepper Crumb Typically: 0.57kg,£7,"['/productImages/506/506679011_0_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_1_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_2_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-pork-belly-joint-with-salt-pepper-crumb-506679011,,,,,21.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,,37%,20g,Morrisons The Best Hampshire Pork Belly Joint With Salt & Pepper Crumb Typically: 0.57kg,£7,"['/productImages/506/506679011_0_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_1_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_2_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-pork-belly-joint-with-salt-pepper-crumb-506679011,,,,,7.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons The Best Hampshire Pork Belly Joint With Salt & Pepper Crumb Typically: 0.57kg,£7,"['/productImages/506/506679011_0_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_1_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_2_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-pork-belly-joint-with-salt-pepper-crumb-506679011,,,,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,,<1%,90g,Morrisons The Best Hampshire Pork Belly Joint With Salt & Pepper Crumb Typically: 0.57kg,£7,"['/productImages/506/506679011_0_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_1_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_2_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-pork-belly-joint-with-salt-pepper-crumb-506679011,,,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons The Best Hampshire Pork Belly Joint With Salt & Pepper Crumb Typically: 0.57kg,£7,"['/productImages/506/506679011_0_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_1_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_2_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-pork-belly-joint-with-salt-pepper-crumb-506679011,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons The Best Hampshire Pork Belly Joint With Salt & Pepper Crumb Typically: 0.57kg,£7,"['/productImages/506/506679011_0_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_1_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_2_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-pork-belly-joint-with-salt-pepper-crumb-506679011,,,,,14.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
