item_name,price,image_url
                  Morrisons The Best Thick Pork & Leek Sausages                                  400g                 ,               £2.50              ,https://groceries.morrisons.com/productImages/116/116091011_0_150x150.jpg?identifier=0bbbd9c4e47663784e058c3fff4f8da9
                  Morrisons The Best Thick Pork And Sweet Chilli Sausages                                  400g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/251/251427011_0_150x150.jpg?identifier=96924aacac93fda57b8bdab877e1e4bd
"                  Morrisons The Best Pork, Apple & Cranberry Stuffing                                  400g                 ",               £1.50              ,https://groceries.morrisons.com/productImages/532/532110011_0_150x150.jpg?identifier=f732cc185b5678979565d30814859328
                  Morrisons The Best Pork Belly Bites With Maple Bbq Sauce                                  350g                 ,               £4              ,https://groceries.morrisons.com/productImages/485/485432011_0_150x150.jpg?identifier=c68c7d999be7e20fa7d2fe53e257ae3a
                  Morrisons The Best Dry Cured Un…                                  210g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/507/507970011_0_150x150.jpg?identifier=d44464b72b784b49b9e976ec53c36def
                  Morrisons The Best Thick Pork & Bramley Apple Sausages                                  400g                 ,               £2.65              ,https://groceries.morrisons.com/productImages/116/116090011_0_150x150.jpg?identifier=6c221baa4de0ee47da5086355b0acbc2
                  Morrisons Slow Cooked Pork Ribs In Bourbon Bbq Sauce                                  544g                 ,               £4              ,https://groceries.morrisons.com/productImages/475/475169011_0_150x150.jpg?identifier=61588b76ea614e975f9af251e0ea229c
                  Morrisons Butcher's Style Pork Apple…                                  400g                 ,               £1              ,https://groceries.morrisons.com/productImages/532/532109011_0_150x150.jpg?identifier=823f04d162fb0da09548951fdf69286b
                  Morrisons Frozen Raw Scallops                                  125g                 ,               £4              ,https://groceries.morrisons.com/productImages/355/355938011_0_150x150.jpg?identifier=76bd19b9a0343fa904d5da139a9d2e06
                  Morrisons Slow Cooked Pulled Beef Brisket                                  400g                 ,               £4              ,https://groceries.morrisons.com/productImages/513/513021011_0_150x150.jpg?identifier=fb567bd56a0281e58cf590b5e75f0db8
                  Morrisons British Beef Rump Steak                                  250g                 ,               £3.50              ,https://groceries.morrisons.com/productImages/273/273385011_0_150x150.jpg?identifier=c1242550db8440bbd4d336d4adba1ad1
                  The Meatless Farm Co Meat Free Mince                                  400g                 ,               £1              ,https://groceries.morrisons.com/productImages/465/465196011_0_150x150.jpg?identifier=ae7de2b4e05957ba765a08567f193a85
                  The Meatless Farm Co 2 Meat Free Burgers                                  227g                 ,               £1              ,https://groceries.morrisons.com/productImages/465/465191011_0_150x150.jpg?identifier=54c7f964f4b491aa91851ef27d47c832
                  Morrisons British Half Spring Lamb Shoulder Joint                                  Typically: 1.05kg                 ,               £6.30              ,https://groceries.morrisons.com/productImages/443/443272011_0_150x150.jpg?identifier=32e078aa7ee4b9a1dfc6f5f4cd48d3b1
                  Morrisons Extra Thick Unsmo…                                  300g                 ,               £1.69              ,https://groceries.morrisons.com/productImages/218/218254011_0_150x150.jpg?identifier=9a4394a4c0a7508e32725e7934f72f7a
                  Morrisons The Best Sage & Onion Stuffing Balls                                  360g                 ,               £3              ,https://groceries.morrisons.com/productImages/430/430716011_0_150x150.jpg?identifier=223230adedc7f18547130499f9cb093a
                  Morrisons The Best Turkey Gravy                                  500g                 ,               £2              ,https://groceries.morrisons.com/productImages/537/537447011_0_150x150.jpg?identifier=8e8c7abbe3b4cee0bb288ecdf01311fa
                  Morrisons Smoked Extra Thick Rindless Back Bacon Rashers                                  6 x 50g                 ,               £1.69              ,https://groceries.morrisons.com/productImages/213/213139011_0_150x150.jpg?identifier=85f81ca4a66af189440b1e88da17e9b7
                  Morrisons Unsmoked British Back Bacon Rashers                                  250g                 ,               £2              ,https://groceries.morrisons.com/productImages/284/284382011_0_150x150.jpg?identifier=823ef50b1e16db777190643d5555fa7f
                  Morrisons The Best Cranberry & Port Sauce                                  300g                 ,               £1.50              ,https://groceries.morrisons.com/productImages/537/537456011_0_150x150.jpg?identifier=690e7849efbf5876964c952b98bb8948
                  Morrisons The Best Prawn Cocktail Sauce                                  180g                 ,               £1.50              ,https://groceries.morrisons.com/productImages/383/383445011_0_150x150.jpg?identifier=a0c2208ec15f79a25b7ae1dd04cb7cf0
                  Morrisons Smoked British Back Bacon Rashers                                  250g                 ,               £2              ,https://groceries.morrisons.com/productImages/284/284373011_0_150x150.jpg?identifier=7339f789a8eb736be939c71026c2609c
                  Bleikers Yorkshire Peat Salmon                                  100g                 ,               £3              ,https://groceries.morrisons.com/productImages/531/531932011_0_150x150.jpg?identifier=4ab7889b78908b8edfa9badeeabc80d6
                  Morrisons Unsmoked Gammon Joint                                  2.2kg                 ,               £12              ,https://groceries.morrisons.com/productImages/116/116184011_0_150x150.jpg?identifier=84e2e53fbe12708897cacd90562d235d
                  Morrisons Cold Water Prawns                                  180g                 ,               £2              ,https://groceries.morrisons.com/productImages/531/531935011_0_150x150.jpg?identifier=a82f37c1a74508be77d25e91d78e7a52
                  Morrisons British Super Trimmed Fore…                                  Typically: 2.25kg                 ,               £36              ,https://groceries.morrisons.com/productImages/352/352062011_0_150x150.jpg?identifier=9bd3c994af727384208dffad7127d740
                  Morrisons The Best Stuffed Pork Fil…                                  750g                 ,               £7.50              ,https://groceries.morrisons.com/productImages/534/534242011_0_150x150.jpg?identifier=cb0bc51af616f3d066929ce6e61eee46
                  Morrisons Large Unsmoked Gammon Joint 5.2-5.5kg                                  Typically: 5.35kg                 ,               £22.74              ,https://groceries.morrisons.com/productImages/298/298554011_0_150x150.jpg?identifier=a7100bab3ff0f8b0264d9243220cb37c
                  Gressingham Duck Fat                                  250g                 ,               £2              ,https://groceries.morrisons.com/productImages/503/503524011_0_150x150.jpg?identifier=4bb0e003c7bb240d5208ed08aa50464a
                  Morrisons Large Smoked Gammon 5.2-5.5kg                                  Typically: 5.35kg                 ,               £22.74              ,https://groceries.morrisons.com/productImages/298/298553011_0_150x150.jpg?identifier=c5a7bc191365065622c5838b5e20da30
                  Morrisons Southern Fried Chicken Portions                                  800g                 ,               £3.50              ,https://groceries.morrisons.com/productImages/230/230967011_0_150x150.jpg?identifier=92d43b2d5852de4830f190a2f4377d10
                  Morrisons The Best Maple Cured Streak Bacon                                  210g                 ,               £2.50              ,https://groceries.morrisons.com/productImages/538/538602011_0_150x150.jpg?identifier=c890b00e740aac1ce1fd29c0c9900409
                  Morrisons Medium Smoked Gammon Joint                                  Typically: 2.7kg                 ,               £12.83              ,https://groceries.morrisons.com/productImages/209/209816011_0_150x150.jpg?identifier=4251d110bbc6bb4be3bca5ed3fd3be88
                  Morrisons Slow Cooked Cherrywoo…                                  380g                 ,               £3              ,https://groceries.morrisons.com/productImages/475/475167011_0_150x150.jpg?identifier=2c5b5b2e487dcfe012d6ea9e28e4ead9
                  Morrisons The Best Hampshir…                                  Typically: 0.47kg                 ,               £7              ,https://groceries.morrisons.com/productImages/506/506726011_0_150x150.jpg?identifier=4a92e7d25f6f2267a73e8c297b176111
                  Morrisons Whole Seabass                                  Typically: 318g                 ,               95p              ,https://groceries.morrisons.com/productImages/539/539507011_0_150x150.jpg?identifier=301dd4ac8900ff3718251e34b1628015
                  Morrisons British Super Trimmed Fore…                                  Typically: 4.5kg                 ,               £72              ,https://groceries.morrisons.com/productImages/352/352061011_0_150x150.jpg?identifier=d79a726d175d9b605aa830d3f6e9304d
                  Morrisons Plaice Fillet                                  Typically: 177g                 ,               £2.57              ,https://groceries.morrisons.com/productImages/539/539503011_0_150x150.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f
                  Morrisons The Best Hampshire Pork Belly J…                                  Typically: 0.57kg                 ,               £7              ,https://groceries.morrisons.com/productImages/506/506679011_0_150x150.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216
                  Morrisons Whole Seabream                                  Typically: 313g                 ,               94p              ,https://groceries.morrisons.com/productImages/539/539506011_0_150x150.jpg?identifier=6ee4e4ea178e692e6a6272d9df0d0ab8
                  Denhay Unsmoked Back Bacon                                  200g                 ,               £3.15              ,https://groceries.morrisons.com/productImages/539/539551011_0_150x150.jpg?identifier=46eba844e70385ed7f8aeed00d326e6f
                  Morrisons Mackerel Fillet                                  Typically: 139g                 ,               £1.53              ,https://groceries.morrisons.com/productImages/539/539504011_0_150x150.jpg?identifier=c88921a7fec43635d1261687b03642c5
                  Morrisons Hake Fillets                                  Typically: 325g                 ,               £3.58              ,https://groceries.morrisons.com/productImages/539/539508011_0_150x150.jpg?identifier=3bdc276b339e5e71719c945c20ab5fba
                  Morrisons Slow Cook Apple & Pork Casserole                                  450g                 ,               £4              ,https://groceries.morrisons.com/productImages/216/216765011_0_150x150.jpg?identifier=4ed879f17c2560bde282d05c74591ad3
                  Morrisons Monkfish Tail                                  Typically: 269g                 ,               £6.73              ,https://groceries.morrisons.com/productImages/539/539502011_0_150x150.jpg?identifier=f263970292a1282b3a5962dc9eabcb8d
                  Morrisons British Pork Strips                                  500g                 ,               £3              ,https://groceries.morrisons.com/productImages/533/533921011_0_150x150.jpg?identifier=8d7ee283ea319b3d0814892739ec7f32
                  Morrisons Best Hampshire Pork Steak Wit…                                  Typically: 400g                 ,               £9.50              ,https://groceries.morrisons.com/productImages/506/506678011_0_150x150.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2
